,fecha,Comarca,Número de casos total,Casos positivos de mujeres,Casos positivos de hombres,Número de defunciones total,Defunciones de mujeres,Defunciones de hombres,Defunciones no clasificadas
0,01/03/2020,BARCELONES,1,1.0,0.0,,,,
1,02/03/2020,ANOIA,2,1.0,0.0,,,,
2,02/03/2020,BAIX LLOBREGAT,1,1.0,0.0,,,,
3,02/03/2020,BARCELONES,2,0.0,1.0,,,,
4,03/03/2020,ANOIA,1,0.0,1.0,,,,
5,03/03/2020,BAIX EMPORDA,1,1.0,0.0,,,,
6,03/03/2020,BAIX LLOBREGAT,1,1.0,0.0,,,,
7,03/03/2020,BAIX LLOBREGAT,2,0.0,1.0,,,,
8,03/03/2020,BARCELONES,3,0.0,1.0,,,,
9,03/03/2020,VALLES ORIENTAL,2,0.0,1.0,,,,
14,04/03/2020,GIRONES,1,0.0,1.0,,,,
13,04/03/2020,BARCELONES,2,0.0,1.0,,,,
12,04/03/2020,BARCELONES,2,1.0,0.0,,,,
11,04/03/2020,BAIX LLOBREGAT,1,1.0,0.0,,,,
10,04/03/2020,ANOIA,1,0.0,1.0,,,,
15,05/03/2020,ANOIA,2,1.0,0.0,,,,
16,05/03/2020,BAIX LLOBREGAT,2,1.0,0.0,,,,
17,05/03/2020,BARCELONES,6,1.0,0.0,,,,
18,05/03/2020,BARCELONES,2,0.0,1.0,,,,
19,05/03/2020,GIRONES,2,1.0,0.0,,,,
20,05/03/2020,MARESME,2,0.0,1.0,,,,
21,05/03/2020,VALLES OCCIDENTAL,1,1.0,0.0,,,,
22,05/03/2020,VALLES OCCIDENTAL,1,0.0,1.0,,,,
29,06/03/2020,VALLES OCCIDENTAL,2,0.0,1.0,,,,
27,06/03/2020,GIRONES,1,1.0,0.0,,,,
26,06/03/2020,BARCELONES,2,0.0,1.0,,,,
28,06/03/2020,MARESME,1,1.0,0.0,,,,
24,06/03/2020,BAIX LLOBREGAT,2,1.0,0.0,,,,
23,06/03/2020,BAIX EMPORDA,1,0.0,1.0,,,,
25,06/03/2020,BARCELONES,4,1.0,0.0,,,,
30,07/03/2020,BAIX CAMP,1,0.0,1.0,,,,
31,07/03/2020,BAIX LLOBREGAT,1,1.0,0.0,,,,
32,07/03/2020,BARCELONES,2,1.0,0.0,2.0,0.0,1.0,0.0
33,07/03/2020,BARCELONES,6,0.0,1.0,2.0,0.0,1.0,0.0
34,07/03/2020,GIRONES,1,0.0,1.0,,,,
35,07/03/2020,MARESME,1,0.0,1.0,,,,
36,07/03/2020,VALLES OCCIDENTAL,2,0.0,1.0,,,,
37,07/03/2020,VALLES ORIENTAL,1,1.0,0.0,,,,
43,08/03/2020,VALLES OCCIDENTAL,1,0.0,1.0,,,,
42,08/03/2020,MARESME,1,0.0,1.0,,,,
41,08/03/2020,BARCELONES,3,0.0,1.0,1.0,0.0,1.0,0.0
39,08/03/2020,BARCELONES,3,1.0,0.0,1.0,0.0,1.0,0.0
38,08/03/2020,BARCELONES,3,1.0,0.0,1.0,1.0,0.0,0.0
40,08/03/2020,BARCELONES,3,0.0,1.0,1.0,1.0,0.0,0.0
59,09/03/2020,GIRONES,2,1.0,0.0,,,,
71,09/03/2020,VALLES ORIENTAL,3,0.0,1.0,,,,
70,09/03/2020,VALLES ORIENTAL,6,1.0,0.0,,,,
69,09/03/2020,VALLES OCCIDENTAL,10,0.0,1.0,,,,
68,09/03/2020,VALLES OCCIDENTAL,2,1.0,0.0,,,,
67,09/03/2020,TARRAGONES,1,1.0,0.0,,,,
66,09/03/2020,SELVA,1,0.0,1.0,,,,
65,09/03/2020,SEGRIA,1,0.0,1.0,,,,
64,09/03/2020,PALLARS JUSSA,1,1.0,0.0,,,,
63,09/03/2020,OSONA,1,1.0,0.0,,,,
62,09/03/2020,MARESME,1,0.0,1.0,,,,
61,09/03/2020,MARESME,2,1.0,0.0,,,,
58,09/03/2020,GARROTXA,1,0.0,1.0,,,,
60,09/03/2020,GIRONES,1,0.0,1.0,,,,
56,09/03/2020,BARCELONES,23,0.0,1.0,3.0,0.0,1.0,0.0
57,09/03/2020,GARROTXA,1,1.0,0.0,,,,
45,09/03/2020,ALT PENEDES,2,1.0,0.0,,,,
46,09/03/2020,ANOIA,6,1.0,0.0,1.0,0.0,1.0,0.0
47,09/03/2020,ANOIA,1,0.0,1.0,1.0,0.0,1.0,0.0
48,09/03/2020,BAGES,1,1.0,0.0,,,,
49,09/03/2020,BAGES,1,0.0,1.0,,,,
44,09/03/2020,ALT EMPORDA,1,1.0,0.0,,,,
51,09/03/2020,BAIX LLOBREGAT,9,1.0,0.0,,,,
52,09/03/2020,BAIX LLOBREGAT,8,0.0,1.0,,,,
53,09/03/2020,BARCELONES,10,1.0,0.0,1.0,1.0,0.0,0.0
54,09/03/2020,BARCELONES,10,1.0,0.0,3.0,0.0,1.0,0.0
55,09/03/2020,BARCELONES,23,0.0,1.0,1.0,1.0,0.0,0.0
50,09/03/2020,BAIX EMPORDA,1,0.0,1.0,,,,
88,10/03/2020,GIRONES,2,0.0,1.0,,,,
90,10/03/2020,MARESME,3,0.0,1.0,,,,
91,10/03/2020,OSONA,1,0.0,1.0,,,,
92,10/03/2020,PALLARS JUSSA,1,0.0,1.0,,,,
93,10/03/2020,SEGARRA,1,1.0,0.0,1.0,0.0,1.0,0.0
96,10/03/2020,SELVA,2,0.0,1.0,,,,
95,10/03/2020,SELVA,1,1.0,0.0,,,,
97,10/03/2020,VALLES OCCIDENTAL,9,1.0,0.0,,,,
98,10/03/2020,VALLES OCCIDENTAL,10,0.0,1.0,,,,
99,10/03/2020,VALLES ORIENTAL,7,1.0,0.0,,,,
87,10/03/2020,GIRONES,4,1.0,0.0,,,,
100,10/03/2020,VALLES ORIENTAL,2,0.0,1.0,,,,
94,10/03/2020,SEGRIA,3,0.0,1.0,,,,
86,10/03/2020,GARRAF,1,0.0,1.0,,,,
89,10/03/2020,MARESME,3,1.0,0.0,,,,
84,10/03/2020,BARCELONES,40,0.0,1.0,1.0,1.0,0.0,0.0
85,10/03/2020,GARRAF,1,1.0,0.0,,,,
72,10/03/2020,ALT EMPORDA,1,1.0,0.0,,,,
74,10/03/2020,ALT URGELL,1,0.0,1.0,,,,
75,10/03/2020,ANOIA,13,1.0,0.0,1.0,1.0,0.0,0.0
76,10/03/2020,ANOIA,13,1.0,0.0,2.0,0.0,1.0,0.0
77,10/03/2020,ANOIA,8,0.0,1.0,1.0,1.0,0.0,0.0
73,10/03/2020,ALT PENEDES,3,1.0,0.0,1.0,0.0,1.0,0.0
79,10/03/2020,BAGES,1,1.0,0.0,,,,
80,10/03/2020,BAGES,3,0.0,1.0,,,,
81,10/03/2020,BAIX LLOBREGAT,12,1.0,0.0,,,,
82,10/03/2020,BAIX LLOBREGAT,10,0.0,1.0,,,,
83,10/03/2020,BARCELONES,25,1.0,0.0,1.0,1.0,0.0,0.0
78,10/03/2020,ANOIA,8,0.0,1.0,2.0,0.0,1.0,0.0
132,11/03/2020,SEGRIA,1,1.0,0.0,,,,
124,11/03/2020,MARESME,4,1.0,0.0,,,,
125,11/03/2020,MARESME,9,0.0,1.0,,,,
126,11/03/2020,MOIANÈS,1,0.0,1.0,,,,
127,11/03/2020,MONTSIA,1,0.0,1.0,,,,
128,11/03/2020,NOGUERA,1,1.0,0.0,,,,
129,11/03/2020,NOGUERA,4,0.0,1.0,,,,
131,11/03/2020,PLA DE L'ESTANY,1,0.0,1.0,,,,
133,11/03/2020,SELVA,1,1.0,0.0,,,,
140,11/03/2020,VALLES ORIENTAL,3,1.0,0.0,1.0,0.0,1.0,0.0
135,11/03/2020,TARRAGONES,1,0.0,1.0,,,,
136,11/03/2020,URGELL,1,0.0,1.0,,,,
137,11/03/2020,VALLES OCCIDENTAL,10,1.0,0.0,,,,
138,11/03/2020,VALLES OCCIDENTAL,15,0.0,1.0,,,,
139,11/03/2020,VALLES ORIENTAL,3,1.0,0.0,1.0,1.0,0.0,0.0
141,11/03/2020,VALLES ORIENTAL,4,0.0,1.0,1.0,1.0,0.0,0.0
142,11/03/2020,VALLES ORIENTAL,4,0.0,1.0,1.0,0.0,1.0,0.0
123,11/03/2020,GIRONES,2,0.0,1.0,,,,
134,11/03/2020,SELVA,1,0.0,1.0,,,,
122,11/03/2020,GIRONES,3,1.0,0.0,,,,
130,11/03/2020,OSONA,2,1.0,0.0,,,,
120,11/03/2020,GARRAF,2,0.0,1.0,,,,
101,11/03/2020,ALT PENEDES,1,1.0,0.0,,,,
102,11/03/2020,ANOIA,15,1.0,0.0,2.0,1.0,0.0,0.0
103,11/03/2020,ANOIA,15,1.0,0.0,3.0,0.0,1.0,0.0
104,11/03/2020,ANOIA,4,0.0,1.0,2.0,1.0,0.0,0.0
105,11/03/2020,ANOIA,4,0.0,1.0,3.0,0.0,1.0,0.0
107,11/03/2020,BAGES,2,0.0,1.0,,,,
108,11/03/2020,BAIX CAMP,1,1.0,0.0,,,,
109,11/03/2020,BAIX CAMP,2,0.0,1.0,,,,
110,11/03/2020,BAIX EBRE,4,1.0,0.0,,,,
106,11/03/2020,BAGES,2,1.0,0.0,,,,
112,11/03/2020,BAIX LLOBREGAT,14,1.0,0.0,,,,
111,11/03/2020,BAIX EBRE,1,0.0,1.0,,,,
118,11/03/2020,BERGUEDA,1,1.0,0.0,,,,
117,11/03/2020,BARCELONES,39,0.0,1.0,1.0,0.0,1.0,0.0
116,11/03/2020,BARCELONES,39,0.0,1.0,1.0,1.0,0.0,0.0
119,11/03/2020,GARRAF,2,1.0,0.0,,,,
114,11/03/2020,BARCELONES,43,1.0,0.0,1.0,1.0,0.0,0.0
113,11/03/2020,BAIX LLOBREGAT,9,0.0,1.0,,,,
121,11/03/2020,GARROTXA,1,0.0,1.0,,,,
115,11/03/2020,BARCELONES,43,1.0,0.0,1.0,0.0,1.0,0.0
176,12/03/2020,PLA DE L'ESTANY,1,1.0,0.0,,,,
168,12/03/2020,GARROTXA,1,0.0,1.0,,,,
169,12/03/2020,GIRONES,3,1.0,0.0,,,,
170,12/03/2020,GIRONES,5,0.0,1.0,,,,
171,12/03/2020,MARESME,9,1.0,0.0,,,,
172,12/03/2020,MARESME,2,0.0,1.0,,,,
173,12/03/2020,OSONA,5,1.0,0.0,,,,
174,12/03/2020,PALLARS JUSSA,1,0.0,1.0,,,,
175,12/03/2020,PLA D'URGELL,1,1.0,0.0,,,,
177,12/03/2020,SEGARRA,1,0.0,1.0,,,,
187,12/03/2020,VALLES ORIENTAL,5,0.0,1.0,1.0,1.0,0.0,0.0
179,12/03/2020,SEGRIA,6,0.0,1.0,,,,
180,12/03/2020,SELVA,1,1.0,0.0,,,,
181,12/03/2020,SELVA,4,0.0,1.0,,,,
182,12/03/2020,TARRAGONES,1,0.0,1.0,,,,
183,12/03/2020,VALL D'ARAN,1,0.0,1.0,,,,
184,12/03/2020,VALLES OCCIDENTAL,30,1.0,0.0,1.0,0.0,1.0,0.0
185,12/03/2020,VALLES OCCIDENTAL,29,0.0,1.0,1.0,0.0,1.0,0.0
186,12/03/2020,VALLES ORIENTAL,11,1.0,0.0,1.0,1.0,0.0,0.0
166,12/03/2020,GARRAF,1,1.0,0.0,,,,
178,12/03/2020,SEGRIA,9,1.0,0.0,,,,
165,12/03/2020,BERGUEDA,1,1.0,0.0,1.0,0.0,1.0,0.0
167,12/03/2020,GARRAF,3,0.0,1.0,,,,
163,12/03/2020,BARCELONES,65,0.0,1.0,4.0,1.0,0.0,0.0
164,12/03/2020,BARCELONES,65,0.0,1.0,5.0,0.0,1.0,0.0
143,12/03/2020,ALT EMPORDA,1,0.0,1.0,,,,
144,12/03/2020,ALT PENEDES,1,0.0,1.0,,,,
145,12/03/2020,ALT URGELL,1,0.0,1.0,,,,
146,12/03/2020,ANOIA,13,1.0,0.0,2.0,1.0,0.0,0.0
147,12/03/2020,ANOIA,13,1.0,0.0,2.0,0.0,1.0,0.0
149,12/03/2020,ANOIA,8,0.0,1.0,2.0,0.0,1.0,0.0
150,12/03/2020,BAGES,1,1.0,0.0,1.0,0.0,1.0,0.0
151,12/03/2020,BAGES,1,0.0,1.0,1.0,0.0,1.0,0.0
152,12/03/2020,BAIX CAMP,2,1.0,0.0,,,,
148,12/03/2020,ANOIA,8,0.0,1.0,2.0,1.0,0.0,0.0
154,12/03/2020,BAIX EBRE,3,1.0,0.0,,,,
155,12/03/2020,BAIX EBRE,2,0.0,1.0,,,,
156,12/03/2020,BAIX EMPORDA,1,1.0,0.0,,,,
157,12/03/2020,BAIX LLOBREGAT,25,1.0,0.0,1.0,0.0,1.0,0.0
158,12/03/2020,BAIX LLOBREGAT,25,0.0,1.0,1.0,0.0,1.0,0.0
159,12/03/2020,BAIX PENEDES,1,1.0,0.0,,,,
160,12/03/2020,BAIX PENEDES,1,0.0,1.0,,,,
161,12/03/2020,BARCELONES,80,1.0,0.0,4.0,1.0,0.0,0.0
162,12/03/2020,BARCELONES,80,1.0,0.0,5.0,0.0,1.0,0.0
153,12/03/2020,BAIX CAMP,1,0.0,1.0,,,,
224,13/03/2020,PLA DE L'ESTANY,2,1.0,0.0,,,,
223,13/03/2020,PLA D'URGELL,1,0.0,1.0,,,,
222,13/03/2020,PLA D'URGELL,2,1.0,0.0,,,,
221,13/03/2020,OSONA,3,0.0,1.0,1.0,1.0,0.0,0.0
217,13/03/2020,MOIANÈS,1,1.0,0.0,1.0,0.0,1.0,0.0
219,13/03/2020,NOGUERA,1,0.0,1.0,,,,
218,13/03/2020,NOGUERA,2,1.0,0.0,,,,
216,13/03/2020,MARESME,11,0.0,1.0,,,,
225,13/03/2020,PLA DE L'ESTANY,2,0.0,1.0,,,,
220,13/03/2020,OSONA,1,1.0,0.0,1.0,1.0,0.0,0.0
226,13/03/2020,PRIORAT,1,1.0,0.0,,,,
236,13/03/2020,VALLES OCCIDENTAL,37,0.0,1.0,2.0,0.0,1.0,0.0
228,13/03/2020,SEGRIA,3,1.0,0.0,,,,
229,13/03/2020,SEGRIA,2,0.0,1.0,,,,
230,13/03/2020,SELVA,2,1.0,0.0,,,,
231,13/03/2020,SELVA,1,0.0,1.0,,,,
232,13/03/2020,TARRAGONES,1,0.0,1.0,,,,
233,13/03/2020,URGELL,2,1.0,0.0,,,,
234,13/03/2020,URGELL,1,0.0,1.0,,,,
238,13/03/2020,VALLES ORIENTAL,15,0.0,1.0,,,,
235,13/03/2020,VALLES OCCIDENTAL,38,1.0,0.0,2.0,0.0,1.0,0.0
237,13/03/2020,VALLES ORIENTAL,14,1.0,0.0,,,,
215,13/03/2020,MARESME,11,1.0,0.0,,,,
227,13/03/2020,SEGARRA,2,1.0,0.0,,,,
214,13/03/2020,GIRONES,11,0.0,1.0,,,,
191,13/03/2020,ANOIA,27,1.0,0.0,2.0,1.0,0.0,0.0
212,13/03/2020,GARRAF,3,0.0,1.0,,,,
213,13/03/2020,GIRONES,13,1.0,0.0,,,,
189,13/03/2020,ALT PENEDES,1,0.0,1.0,,,,
190,13/03/2020,ALT URGELL,2,1.0,0.0,,,,
192,13/03/2020,ANOIA,27,1.0,0.0,3.0,0.0,1.0,0.0
193,13/03/2020,ANOIA,9,0.0,1.0,2.0,1.0,0.0,0.0
194,13/03/2020,ANOIA,9,0.0,1.0,3.0,0.0,1.0,0.0
195,13/03/2020,BAGES,8,1.0,0.0,1.0,1.0,0.0,0.0
196,13/03/2020,BAGES,8,1.0,0.0,1.0,0.0,1.0,0.0
197,13/03/2020,BAGES,4,0.0,1.0,1.0,1.0,0.0,0.0
198,13/03/2020,BAGES,4,0.0,1.0,1.0,0.0,1.0,0.0
199,13/03/2020,BAIX EBRE,1,1.0,0.0,,,,
188,13/03/2020,ALT PENEDES,4,1.0,0.0,,,,
201,13/03/2020,BAIX EMPORDA,3,0.0,1.0,,,,
200,13/03/2020,BAIX EMPORDA,1,1.0,0.0,,,,
210,13/03/2020,BERGUEDA,1,1.0,0.0,,,,
209,13/03/2020,BARCELONES,122,0.0,1.0,3.0,0.0,1.0,0.0
208,13/03/2020,BARCELONES,122,0.0,1.0,11.0,1.0,0.0,0.0
207,13/03/2020,BARCELONES,120,1.0,0.0,3.0,0.0,1.0,0.0
211,13/03/2020,GARRAF,8,1.0,0.0,,,,
205,13/03/2020,BAIX LLOBREGAT,28,0.0,1.0,1.0,0.0,1.0,0.0
204,13/03/2020,BAIX LLOBREGAT,28,0.0,1.0,4.0,1.0,0.0,0.0
203,13/03/2020,BAIX LLOBREGAT,34,1.0,0.0,1.0,0.0,1.0,0.0
202,13/03/2020,BAIX LLOBREGAT,34,1.0,0.0,4.0,1.0,0.0,0.0
206,13/03/2020,BARCELONES,120,1.0,0.0,11.0,1.0,0.0,0.0
273,14/03/2020,RIPOLLES,1,1.0,0.0,,,,
265,14/03/2020,GIRONES,1,0.0,1.0,,,,
266,14/03/2020,MARESME,8,1.0,0.0,,,,
267,14/03/2020,MARESME,10,0.0,1.0,,,,
268,14/03/2020,MONTSIA,1,1.0,0.0,,,,
269,14/03/2020,OSONA,8,1.0,0.0,2.0,1.0,0.0,0.0
270,14/03/2020,OSONA,5,0.0,1.0,2.0,1.0,0.0,0.0
271,14/03/2020,PALLARS SOBIRA,1,1.0,0.0,,,,
272,14/03/2020,PLA DE L'ESTANY,1,0.0,1.0,,,,
274,14/03/2020,SEGARRA,1,0.0,1.0,,,,
280,14/03/2020,TARRAGONES,3,0.0,1.0,,,,
276,14/03/2020,SEGRIA,2,0.0,1.0,,,,
277,14/03/2020,SELVA,2,1.0,0.0,,,,
278,14/03/2020,SELVA,1,0.0,1.0,,,,
279,14/03/2020,TARRAGONES,1,1.0,0.0,,,,
281,14/03/2020,URGELL,1,0.0,1.0,,,,
282,14/03/2020,VALLES OCCIDENTAL,24,1.0,0.0,2.0,1.0,0.0,0.0
283,14/03/2020,VALLES OCCIDENTAL,32,0.0,1.0,2.0,1.0,0.0,0.0
284,14/03/2020,VALLES ORIENTAL,12,1.0,0.0,2.0,1.0,0.0,0.0
285,14/03/2020,VALLES ORIENTAL,6,0.0,1.0,2.0,1.0,0.0,0.0
264,14/03/2020,GIRONES,4,1.0,0.0,,,,
275,14/03/2020,SEGRIA,2,1.0,0.0,,,,
263,14/03/2020,CONCA DE BARBERA,1,1.0,0.0,,,,
248,14/03/2020,BAGES,7,0.0,1.0,,,,
261,14/03/2020,BARCELONES,93,0.0,1.0,13.0,1.0,0.0,0.0
240,14/03/2020,ALT EMPORDA,1,1.0,0.0,,,,
241,14/03/2020,ALT EMPORDA,1,0.0,1.0,,,,
242,14/03/2020,ALT PENEDES,2,0.0,1.0,,,,
243,14/03/2020,ANOIA,15,1.0,0.0,5.0,1.0,0.0,0.0
244,14/03/2020,ANOIA,15,1.0,0.0,2.0,0.0,1.0,0.0
245,14/03/2020,ANOIA,16,0.0,1.0,5.0,1.0,0.0,0.0
246,14/03/2020,ANOIA,16,0.0,1.0,2.0,0.0,1.0,0.0
247,14/03/2020,BAGES,10,1.0,0.0,,,,
262,14/03/2020,BARCELONES,93,0.0,1.0,15.0,0.0,1.0,0.0
249,14/03/2020,BAIX CAMP,3,0.0,1.0,,,,
239,14/03/2020,ALT CAMP,1,0.0,1.0,,,,
251,14/03/2020,BAIX EMPORDA,2,1.0,0.0,,,,
252,14/03/2020,BAIX EMPORDA,1,0.0,1.0,,,,
253,14/03/2020,BAIX LLOBREGAT,21,1.0,0.0,3.0,1.0,0.0,0.0
254,14/03/2020,BAIX LLOBREGAT,21,1.0,0.0,1.0,0.0,1.0,0.0
255,14/03/2020,BAIX LLOBREGAT,28,0.0,1.0,3.0,1.0,0.0,0.0
256,14/03/2020,BAIX LLOBREGAT,28,0.0,1.0,1.0,0.0,1.0,0.0
257,14/03/2020,BAIX PENEDES,1,1.0,0.0,,,,
258,14/03/2020,BAIX PENEDES,2,0.0,1.0,,,,
259,14/03/2020,BARCELONES,89,1.0,0.0,13.0,1.0,0.0,0.0
260,14/03/2020,BARCELONES,89,1.0,0.0,15.0,0.0,1.0,0.0
250,14/03/2020,BAIX EBRE,2,0.0,1.0,,,,
320,15/03/2020,SEGARRA,1,1.0,0.0,,,,
319,15/03/2020,PLA DE L'ESTANY,2,0.0,1.0,,,,
318,15/03/2020,PALLARS JUSSA,1,1.0,0.0,,,,
313,15/03/2020,MARESME,7,0.0,1.0,,,,
316,15/03/2020,OSONA,9,1.0,0.0,,,,
315,15/03/2020,NOGUERA,1,1.0,0.0,,,,
314,15/03/2020,MONTSIA,1,1.0,0.0,,,,
321,15/03/2020,SEGARRA,2,0.0,1.0,,,,
317,15/03/2020,OSONA,5,0.0,1.0,,,,
322,15/03/2020,SEGRIA,2,1.0,0.0,,,,
328,15/03/2020,VALLES OCCIDENTAL,49,1.0,0.0,,,,
324,15/03/2020,SELVA,4,1.0,0.0,,,,
325,15/03/2020,SELVA,6,0.0,1.0,,,,
326,15/03/2020,TERRA ALTA,1,1.0,0.0,,,,
327,15/03/2020,URGELL,2,1.0,0.0,,,,
329,15/03/2020,VALLES OCCIDENTAL,40,0.0,1.0,,,,
330,15/03/2020,VALLES ORIENTAL,16,1.0,0.0,1.0,1.0,0.0,0.0
331,15/03/2020,VALLES ORIENTAL,16,1.0,0.0,1.0,0.0,1.0,0.0
332,15/03/2020,VALLES ORIENTAL,20,0.0,1.0,1.0,1.0,0.0,0.0
333,15/03/2020,VALLES ORIENTAL,20,0.0,1.0,1.0,0.0,1.0,0.0
312,15/03/2020,MARESME,13,1.0,0.0,,,,
323,15/03/2020,SEGRIA,4,0.0,1.0,,,,
310,15/03/2020,GIRONES,10,1.0,0.0,,,,
311,15/03/2020,GIRONES,5,0.0,1.0,,,,
308,15/03/2020,GARRAF,5,0.0,1.0,,,,
309,15/03/2020,GARROTXA,1,1.0,0.0,,,,
286,15/03/2020,ALT EMPORDA,1,0.0,1.0,,,,
287,15/03/2020,ALT PENEDES,2,1.0,0.0,,,,
288,15/03/2020,ANOIA,22,1.0,0.0,3.0,1.0,0.0,0.0
289,15/03/2020,ANOIA,22,1.0,0.0,3.0,0.0,1.0,0.0
290,15/03/2020,ANOIA,15,0.0,1.0,3.0,1.0,0.0,0.0
291,15/03/2020,ANOIA,15,0.0,1.0,3.0,0.0,1.0,0.0
293,15/03/2020,BAGES,1,0.0,1.0,1.0,0.0,1.0,0.0
294,15/03/2020,BAIX CAMP,1,1.0,0.0,,,,
295,15/03/2020,BAIX CAMP,2,0.0,1.0,,,,
296,15/03/2020,BAIX EMPORDA,2,1.0,0.0,,,,
292,15/03/2020,BAGES,3,1.0,0.0,1.0,0.0,1.0,0.0
298,15/03/2020,BAIX LLOBREGAT,37,1.0,0.0,3.0,0.0,1.0,0.0
299,15/03/2020,BAIX LLOBREGAT,26,0.0,1.0,1.0,1.0,0.0,0.0
300,15/03/2020,BAIX LLOBREGAT,26,0.0,1.0,3.0,0.0,1.0,0.0
301,15/03/2020,BAIX PENEDES,2,1.0,0.0,,,,
302,15/03/2020,BAIX PENEDES,2,0.0,1.0,,,,
303,15/03/2020,BARCELONES,126,1.0,0.0,14.0,1.0,0.0,0.0
304,15/03/2020,BARCELONES,126,1.0,0.0,18.0,0.0,1.0,0.0
305,15/03/2020,BARCELONES,94,0.0,1.0,14.0,1.0,0.0,0.0
306,15/03/2020,BARCELONES,94,0.0,1.0,18.0,0.0,1.0,0.0
307,15/03/2020,GARRAF,5,1.0,0.0,,,,
297,15/03/2020,BAIX LLOBREGAT,37,1.0,0.0,1.0,1.0,0.0,0.0
373,16/03/2020,PLA D'URGELL,1,0.0,1.0,,,,
372,16/03/2020,PALLARS JUSSA,1,0.0,1.0,,,,
371,16/03/2020,OSONA,12,0.0,1.0,1.0,1.0,0.0,0.0
370,16/03/2020,OSONA,16,1.0,0.0,1.0,1.0,0.0,0.0
369,16/03/2020,NOGUERA,2,0.0,1.0,,,,
365,16/03/2020,GIRONES,16,0.0,1.0,,,,
