Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
17/05/2021,13,BARCELONES,0,Home,2
17/05/2021,40,VALLES OCCIDENTAL,0,Home,1
16/05/2021,01,ALT CAMP,1,Dona,1
16/05/2021,11,BAIX LLOBREGAT,0,Home,1
16/05/2021,13,BARCELONES,0,Home,1
16/05/2021,13,BARCELONES,1,Dona,1
16/05/2021,40,VALLES OCCIDENTAL,0,Home,1
15/05/2021,06,ANOIA,1,Dona,1
15/05/2021,13,BARCELONES,0,Home,2
14/05/2021,07,BAGES,0,Home,1
14/05/2021,11,BAIX LLOBREGAT,0,Home,2
14/05/2021,13,BARCELONES,0,Home,2
14/05/2021,40,VALLES OCCIDENTAL,0,Home,1
14/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
13/05/2021,11,BAIX LLOBREGAT,1,Dona,1
13/05/2021,13,BARCELONES,0,Home,1
13/05/2021,36,TARRAGONES,0,Home,1
13/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
13/05/2021,40,VALLES OCCIDENTAL,0,Home,2
12/05/2021,11,BAIX LLOBREGAT,0,Home,1
12/05/2021,13,BARCELONES,1,Dona,1
12/05/2021,19,GARROTXA,0,Home,1
12/05/2021,27,PLA D'URGELL,0,Home,1
12/05/2021,40,VALLES OCCIDENTAL,0,Home,1
12/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
11/05/2021,07,BAGES,0,Home,1
11/05/2021,13,BARCELONES,0,Home,1
11/05/2021,13,BARCELONES,1,Dona,2
11/05/2021,23,NOGUERA,0,Home,1
11/05/2021,24,OSONA,0,Home,1
11/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
11/05/2021,41,VALLES ORIENTAL,0,Home,1
11/05/2021,41,VALLES ORIENTAL,1,Dona,1
10/05/2021,11,BAIX LLOBREGAT,0,Home,1
10/05/2021,13,BARCELONES,1,Dona,2
10/05/2021,24,OSONA,1,Dona,1
10/05/2021,38,URGELL,0,Home,1
09/05/2021,10,BAIX EMPORDA,1,Dona,1
09/05/2021,11,BAIX LLOBREGAT,0,Home,1
09/05/2021,13,BARCELONES,0,Home,4
09/05/2021,13,BARCELONES,1,Dona,4
09/05/2021,36,TARRAGONES,0,Home,1
09/05/2021,40,VALLES OCCIDENTAL,0,Home,1
09/05/2021,40,VALLES OCCIDENTAL,1,Dona,2
09/05/2021,41,VALLES ORIENTAL,1,Dona,1
08/05/2021,01,ALT CAMP,1,Dona,1
08/05/2021,02,ALT EMPORDA,1,Dona,1
08/05/2021,10,BAIX EMPORDA,0,Home,2
08/05/2021,13,BARCELONES,1,Dona,1
08/05/2021,13,BARCELONES,0,Home,2
08/05/2021,19,GARROTXA,0,Home,1
08/05/2021,21,MARESME,1,Dona,2
08/05/2021,23,NOGUERA,0,Home,1
08/05/2021,33,SEGRIA,1,Dona,1
08/05/2021,41,VALLES ORIENTAL,1,Dona,1
08/05/2021,41,VALLES ORIENTAL,0,Home,1
07/05/2021,08,BAIX CAMP,0,Home,1
07/05/2021,19,GARROTXA,0,Home,1
07/05/2021,00,No classificat,,No classifcat,1
07/05/2021,27,PLA D'URGELL,1,Dona,1
07/05/2021,34,SELVA,1,Dona,1
07/05/2021,36,TARRAGONES,0,Home,1
07/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
07/05/2021,40,VALLES OCCIDENTAL,0,Home,1
06/05/2021,01,ALT CAMP,0,Home,1
06/05/2021,02,ALT EMPORDA,0,Home,1
06/05/2021,06,ANOIA,1,Dona,1
06/05/2021,07,BAGES,1,Dona,1
06/05/2021,10,BAIX EMPORDA,0,Home,1
06/05/2021,13,BARCELONES,1,Dona,3
06/05/2021,13,BARCELONES,0,Home,1
06/05/2021,14,BERGUEDA,0,Home,1
06/05/2021,17,GARRAF,1,Dona,1
06/05/2021,19,GARROTXA,0,Home,1
06/05/2021,21,MARESME,0,Home,1
06/05/2021,34,SELVA,0,Home,1
06/05/2021,40,VALLES OCCIDENTAL,0,Home,1
05/05/2021,02,ALT EMPORDA,0,Home,1
05/05/2021,13,BARCELONES,1,Dona,3
05/05/2021,13,BARCELONES,0,Home,1
05/05/2021,21,MARESME,0,Home,1
05/05/2021,42,MOIANÈS,0,Home,1
05/05/2021,24,OSONA,1,Dona,1
05/05/2021,28,PLA DE L'ESTANY,1,Dona,1
05/05/2021,33,SEGRIA,0,Home,1
05/05/2021,36,TARRAGONES,0,Home,1
05/05/2021,40,VALLES OCCIDENTAL,0,Home,3
05/05/2021,40,VALLES OCCIDENTAL,1,Dona,3
05/05/2021,41,VALLES ORIENTAL,0,Home,1
04/05/2021,06,ANOIA,0,Home,1
04/05/2021,07,BAGES,0,Home,3
04/05/2021,11,BAIX LLOBREGAT,1,Dona,1
04/05/2021,13,BARCELONES,0,Home,1
04/05/2021,13,BARCELONES,1,Dona,1
04/05/2021,16,CONCA DE BARBERA,0,Home,1
04/05/2021,21,MARESME,0,Home,1
04/05/2021,33,SEGRIA,0,Home,1
04/05/2021,37,TERRA ALTA,0,Home,1
04/05/2021,40,VALLES OCCIDENTAL,1,Dona,1
04/05/2021,40,VALLES OCCIDENTAL,0,Home,3
04/05/2021,41,VALLES ORIENTAL,0,Home,1
03/05/2021,02,ALT EMPORDA,0,Home,1
03/05/2021,06,ANOIA,1,Dona,1
03/05/2021,08,BAIX CAMP,0,Home,1
03/05/2021,11,BAIX LLOBREGAT,0,Home,1
03/05/2021,13,BARCELONES,1,Dona,4
03/05/2021,13,BARCELONES,0,Home,2
03/05/2021,20,GIRONES,0,Home,1
03/05/2021,21,MARESME,1,Dona,3
03/05/2021,21,MARESME,0,Home,1
03/05/2021,23,NOGUERA,0,Home,1
03/05/2021,24,OSONA,0,Home,1
03/05/2021,35,SOLSONES,1,Dona,1
02/05/2021,02,ALT EMPORDA,1,Dona,2
02/05/2021,03,ALT PENEDES,0,Home,1
02/05/2021,06,ANOIA,1,Dona,1
02/05/2021,07,BAGES,1,Dona,1
02/05/2021,10,BAIX EMPORDA,0,Home,1
02/05/2021,13,BARCELONES,0,Home,2
02/05/2021,13,BARCELONES,1,Dona,2
02/05/2021,20,GIRONES,1,Dona,1
02/05/2021,33,SEGRIA,1,Dona,1
